"Nat","Inv","M_UI","SE_UI","SS_UI","M_I","SE_I","SS_I","Rich_UI","Rich_UI.1","N_Height","I_Height","N_Nitr","I_Nitr","H.x","H.y","H_Diff","Diff"
"Achillea millefolium","Solidago gigantea",4.67666,0.334665216,30,6.45344,0.563331748,30,13,1,0.45,2.49936,685,NA,1.24629692307692,0.40065297029703,1.13483633009112,0.322029142040846
"Agrostis stolonifera","Solidago gigantea",68.2,54.78366545,5,97.9,51.20595668,5,40,11,0.2,2.49936,NA,NA,1.24629692307692,0.48479375,0.944208429225225,0.361501984687048
"Agrostis stolonifera","Solidago gigantea",0.14,0.02236068,5,0.15,0.067082039,5,40,11,0.2,2.49936,NA,NA,1.24629692307692,0.48479375,0.944208429225225,0.0689928714869514
"Agrostis stolonifera","Solidago gigantea",0.14,0.004082483,6,0.15,0.008164966,6,8,1,0.2,2.49936,NA,NA,1.24629692307692,0.48479375,0.944208429225225,0.0689928714869514
"Alloteropsis semialata","Andropogon gayanus",203.14565,1.056470371,20,172.57035,0.955469022,20,-9999,-9999,0.55,3.5,NA,NA,3.5,0.55,1.85059996925099,-0.163118230035364
"Alloteropsis semialata","Andropogon gayanus",711.4875375,2.458972486,40,1084.968063,3.261525784,40,-9999,-9999,0.55,3.5,NA,NA,3.5,0.55,1.85059996925099,0.421947928953461
"Alloteropsis semialata","Andropogon gayanus",418.3619875,1.87504806,40,257.750075,1.443190858,40,-9999,-9999,0.55,3.5,NA,NA,3.5,0.55,1.85059996925099,-0.484356642691307
"Andropogon gerardii","Bromus inermis",50.9565,6.248413836,8,60.3153,6.248251795,8,1,1,0.71,0.762,NA,NA,0.8978,1.200752,-0.290755979821365,0.168613475305514
"Arrhenatherum elatius","Prunus serotina",0.15,0.04472136,5,0.16,0.04472136,5,5,12,1.2,15.2,NA,1638,NA,0.949718710641509,NA,0.0645385211375711
"Arrhenatherum elatius","Fallopia japonica",169.7,55.00727225,5,257.7,268.9989777,5,9,1,1.2,2,NA,NA,2.7865,0.949718710641509,1.07637576032108,0.417763945418138
"Arrhenatherum elatius","Prunus serotina",108.2,27.05642253,5,122,28.84527691,5,5,12,1.2,15.2,NA,1638,NA,0.949718710641509,NA,0.120039678320875
"Arrhenatherum elatius","Fallopia japonica",0.26,0.178885438,5,0.28,0.111803399,5,9,1,1.2,2,NA,NA,2.7865,0.949718710641509,1.07637576032108,0.0741079721537219
"Artemisia californica","Bromus madritensis",15.5803,1.8919,6,13.967,3.1894,6,-9999,-9999,1.5,0.132,NA,437,0.21335,1.70666666666667,-2.07936341973143,-0.109309891389296
"Artemisia californica","Bromus madritensis",15.5803,1.8919,6,13.967,3.1894,6,-9999,-9999,1.5,0.132,NA,437,0.21335,1.70666666666667,-2.07936341973143,-0.109309891389296
"Carex lurida","Phalaris arundinacea",0.675,0.605185922,3,7.625,0.796476616,3,22,1,1,1.469,NA,NA,1.36310416666667,0.98768,0.32216109468442,2.42447491060308
"Dactylis glomerata","Solidago gigantea",0.17,0.020412415,6,0.22,0.016329932,6,8,1,1.2,2.49936,445,NA,1.24629692307692,0.720797108795918,0.547574276801395,0.2578291093021
"Epilobium hirsutum","Solidago gigantea",0.2,0.02857738,6,0.17,0.004082483,6,8,3,2,2.49936,NA,NA,1.24629692307692,1.45555555555556,-0.155210959869986,-0.162518929497775
"Eupatorium cannabinum","Fallopia japonica",0.59,0.163299316,6,0.38,0.020412415,6,5,1,1,2,NA,NA,2.7865,0.686363636363636,1.40113403756489,-0.439951284179334
"Festuca arundinacea","Cortaderia selloana",0.1903,0.0036,4,0.1734,0.0155,4,-9999,-9999,0.55,2.7432,NA,NA,2.7432,0.686733193923077,1.38493454837218,-0.0930007099556625
"Festuca arundinacea","Cortaderia selloana",0.214,0.01,4,0.1237,0.0046,4,-9999,-9999,0.55,2.7432,NA,NA,2.7432,0.686733193923077,1.38493454837218,-0.548116735623409
"Festuca arundinacea","Cortaderia selloana",0.1429,0.0059,4,0.1209,0.0038,4,-9999,-9999,0.55,2.7432,NA,NA,2.7432,0.686733193923077,1.38493454837218,-0.167181327315075
"Festuca arundinacea","Cortaderia selloana",0.1347,0.0064,4,0.1228,0.0082,4,-9999,-9999,0.55,2.7432,NA,NA,2.7432,0.686733193923077,1.38493454837218,-0.092493067703276
"Festuca campestris","Centaurea stoebe",0.41,0.03,24,0.25,0.02,24,5.56,4.08,0.4572,1.2,NA,NA,1.2,0.4572,0.964955903855436,-0.494696241836107
"Festuca campestris","Centaurea stoebe",5.2,0.32,24,12.64,1.13,24,5.56,4.08,0.4572,1.2,NA,NA,1.2,0.4572,0.964955903855436,0.88820776313133
"Festuca idahoensis","Cytisus scoparius",1.0998,0.2319,12,2.6389,0.3812,12,NA,NA,0.6096,2,NA,244,NA,0.6096,NA,0.875233818570305
"Festuca idahoensis","Cytisus scoparius",427.1,20.05826236,18,454.67,28.32198361,18,NA,NA,0.6096,2,NA,244,NA,0.6096,NA,0.0625537032393018
"Festuca idahoensis","Cytisus scoparius",1.2427,0.2982,12,3.7595,0.4805,12,NA,NA,0.6096,2,NA,244,NA,0.6096,NA,1.10699953800613
"Festuca ovina","Elaeagnus umbellata",971.8446,222.4027,18,1753.5227,248.3531,18,-9999,-9999,0.45,4.572,NA,NA,NA,0.268746326530612,NA,0.590186099898324
"Festuca ovina","Elaeagnus umbellata",18.6293,18.9486,18,110.3931,10.0664,18,-9999,-9999,0.45,4.572,NA,NA,NA,0.268746326530612,NA,1.77931202178789
"Festuca ovina","Elaeagnus umbellata",344.1,8.08084154,12,347.9,6.66183158,12,-9999,-9999,0.45,4.572,NA,NA,NA,0.268746326530612,NA,0.0109827693544613
"Festuca ovina","Elaeagnus umbellata",0.5217,0.2235,18,10.5466,4.6956,18,-9999,-9999,0.45,4.572,NA,NA,NA,0.268746326530612,NA,3.00646610205264
"Fraxinus angustifolia","Robinia pseudoacacia",20.0727,1.272959731,4,18.04346667,1.186430906,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,-0.106577020992194
"Fraxinus angustifolia","Robinia pseudoacacia",1.3256,0.133030596,4,1.432266667,0.117100371,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,0.0773930840435181
